Año,Autoridad Portuaria,Graneles Líquidos,Graneles Sólidos,Mercancía General,Pesca Fresca,Avitua- llamiento,Tráfico Local,TOTAL TRAFICO,TEUS,Buques
2009,A Coruña,6820497,3215589,1460292,43108,93570,283941,11916997,7778,1231
2009,Alicante,114588,1111169,1260064,511,24400,3,2510735,132059,935
2009,Almería ,1502,3291672,542994,4037,117334,0,3957539,1425,1999
2009,Avilés,673268,2293135,984041,13590,35981,0,4000015,2575,700
2009,Bahía de Algeciras,20142781,1743479,42316996,2168,3375642,2329889,69910955,3043268,24852
2009,Bahía de Cádiz,120321,1636990,2078670,19762,151767,114,4007624,106399,1644
2009,Baleares,2023532,1689471,8040828,2970,170166,0,11926967,127935,7855
2009,Barcelona,11755823,3921099,26116812,2309,1184676,0,42980719,1800214,8417
2009,Bilbao,20497399,3827983,7279066,0,129415,446066,32179929,443464,3042
2009,Cartagena,16168779,3615556,729090,1145,60590,4716,20579876,58680,1387
2009,Castellón,7776762,1865858,1430457,5094,35384,0,11113555,67075,1231
2009,Ceuta ,1195410,68226,938115,110,555082,0,2756943,13464,12287
2009,Ferrol-S. Cibrao  ,2401948,9268088,562554,206,17578,1499,12251873,401,1088
2009,Gijón,1374641,12456055,666586,11229,123437,1018,14632966,27465,997
2009,Huelva,13042241,4180685,315947,2625,37160,8024,17586682,0,1547
2009,Las Palmas,4546585,753111,13734738,4104,2182173,0,21220711,1007207,9679
2009,Málaga,33596,766796,1274950,1123,101225,0,2177690,289871,1714
2009,Marín y Ría de Pontevedra,16,879867,762045,2718,38873,23,1683542,30590,542
2009,Melilla,76518,32782,713902,0,24025,0,847227,25546,1244
2009,Motril,1330089,453149,162078,2916,16769,0,1965001,948,328
2009,Pasaia,0,1649664,1818076,15868,36065,0,3519673,0,943
2009,Santa Cruz de Tenerife,8423011,848311,5741067,4647,1045156,1830,16064022,346254,15479
2009,Santander,395585,2919749,1106897,11534,52510,134,4486409,1888,1241
2009,Sevilla,203522,2421146,1876824,0,43449,0,4544941,129736,1243
2009,Tarragona,18349276,9830390,3130381,3912,213318,0,31527277,221203,3012
2009,Valencia,5766790,3523706,48217027,1828,280555,0,57789906,3653890,6806
2009,Vigo,71162,381302,3073507,88976,323339,496,3938782,193921,1995
2009,Vilagarcía,224267,488175,245798,0,7021,0,965261,16042,279
2008,A Coruña,7454675,3289608,1684461,32422,106629,280795,12848590,7918,1303
2008,Alicante,107912,1086515,1569690,707,38669,3,2803496,150827,1175
2008,Almería ,3199,4906958,701376,4661,169711,64429,5850334,630,2419
2008,Avilés,535275,3114668,1234954,11924,48628,0,4945449,7615,914
2008,Bahía de Algeciras,20506932,1588521,47519536,2102,3245254,1983369,74845714,3327616,24535
2008,Bahía de Cádiz,173740,2117801,2588765,17646,109124,0,5007076,126408,1709
2008,Baleares,2074133,2130632,9017601,2926,240781,0,13466073,176186,9620
2008,Barcelona,12105080,3506472,34933579,2698,1261416,0,51809245,2569549,9582
2008,Bilbao,23057335,5266459,9656656,0,152353,1265152,39397955,557345,3585
2008,Cartagena,20109630,4628556,910349,1201,99653,3509,25752898,46755,1330
2008,Castellón,7761371,4017009,1752431,4410,53728,0,13588949,88208,1393
2008,Ceuta ,1115082,71772,996017,95,636796,0,2819762,15488,12788
2008,Ferrol-S. Cibrao  ,2224753,9781089,824495,174,26302,3071,12859884,499,1260
2008,Gijón,1431918,16869645,901841,6196,119684,1288,19330572,26095,1176
2008,Huelva,13645908,6525092,450301,2630,39675,58270,20721876,0,1784
2008,Las Palmas,4719129,1139545,17883781,2835,2209065,0,25954355,1312120,9727
2008,Málaga,115852,1342750,3161722,1357,120713,0,4742394,428623,1821
2008,Marín y Ría de Pontevedra,0,847406,780468,3704,40915,57,1672550,29160,476
2008,Melilla,71308,34112,641060,0,23452,0,769932,21688,1245
2008,Motril,1419855,756864,193995,3057,15917,0,2389688,0,376
2008,Pasaia,0,2351378,2374212,7667,40414,0,4773671,0,1320
2008,Santa Cruz de Tenerife,9394063,1352468,6325593,5659,1069049,64585,18211417,397788,17199
2008,Santander,341656,3732466,1364723,7428,59759,0,5506032,1435,1376
2008,Sevilla,228958,2344193,2011520,0,44284,0,4628955,130452,1277
2008,Tarragona,19017185,12420882,1530751,3284,179577,0,33151679,45903,2707
2008,Valencia,5968592,5165374,48320002,1386,316867,0,59772221,3602112,6988
2008,Vigo,58169,458180,4102402,88870,355664,791,5064076,247873,2341
2008,Vilagarcía,322390,506221,304150,0,4464,50,1137275,16631,287
