fresh_fish,total_traffic,buques
4647,16064022,15479
5659,18211417,17199
5613,19873656,18050
7456,19923538,17628
3260,19756938,18786
3797,19042580,19349
4836,18006816,19148
2410,17414234,16432
2831,17131518,15619
2709,16974238,18967
3844,15922812,19252
3717,15515640,18353
3425,14956234,18020
3808,14000639,18241
0,13956954,16690
1,13410976,13812
3505,12269201,11439
4087,12631594,11999
3844,13313578,12502
3935,13198000,13784
2863,13389703,13136
3588,11667149,7902
14803,12677578,7877
51759,12760024,7130
71215,12267220,7027
70893,13465630,7232
72751,15400754,7501
75073,13234323,7775
69829,14417370,7574
109854,14580055,7545
81016,13845525,7542
102488,15846743,7747
81509,16050288,8082
51266,14681163,7909
42751,13811178,7746
39772,16152828,7896
23202,15615890,8052
24835,16698761,8368
24933,16563927,8062
30679,15964639,7114
15062,18239686,7100
16100,16562204,6834
16557,16040934,6507
19667,14135454,6019
23934,13791457,6795
22759,11990571,6603
17643,11179359,6399
14018,9398330,6280
