fresh_fish,total_traffic,year
14018,9398330,1962
17643,11179359,1963
22759,11990571,1964
23934,13791457,1965
19667,14135454,1966
16557,16040934,1967
16100,16562204,1968
15062,18239686,1969
30679,15964639,1970
24933,16563927,1971
24835,16698761,1972
23202,15615890,1973
39772,16152828,1974
42751,13811178,1975
51266,14681163,1976
81509,16050288,1977
102488,15846743,1978
81016,13845525,1979
109854,14580055,1980
69829,14417370,1981
75073,13234323,1982
72751,15400754,1983
70893,13465630,1984
71215,12267220,1985
51759,12760024,1986
14803,12677578,1987
3588,11667149,1988
2863,13389703,1989
3935,13198000,1990
3844,13313578,1991
4087,12631594,1992
3505,12269201,1993
1,13410976,1994
0,13956954,1995
3808,14000639,1996
3425,14956234,1997
3717,15515640,1998
3844,15922812,1999
2709,16974238,2000
2831,17131518,2001
2410,17414234,2002
4836,18006816,2003
3797,19042580,2004
3260,19756938,2005
7456,19923538,2006
5613,19873656,2007
5659,18211417,2008
4647,16064022,2009
