year,total_traffic
1962,9398330
1963,11179359
1964,11990571
1965,13791457
1966,14135454
1967,16040934
1968,16562204
1969,18239686
1970,15964639
1971,16563927
1972,16698761
1973,15615890
1974,16152828
1975,13811178
1976,14681163
1977,16050288
1978,15846743
1979,13845525
1980,14580055
1981,14417370
1982,13234323
1983,15400754
1984,13465630
1985,12267220
1986,12760024
1987,12677578
1988,11667149
1989,13389703
1990,13198000
1991,13313578
1992,12631594
1993,12269201
1994,13410976
1995,13956954
1996,14000639
1997,14956234
1998,15515640
1999,15922812
2000,16974238
2001,17131518
2002,17414234
2003,18006816
2004,19042580
2005,19756938
2006,19923538
2007,19873656
2008,18211417
2009,16064022
