Zona;Cultivo;AÒo;Mes;Precio
CANARIAS;Aguacate;2016;Enero;1.89
CANARIAS;Aguacate;2016;Febrero;1.97
CANARIAS;Aguacate;2016;Marzo;1.93
CANARIAS;Aguacate;2016;Abril;2.09
CANARIAS;Aguacate;2016;Mayo;2.42
CANARIAS;Aguacate;2016;Junio;2.88
CANARIAS;Aguacate;2016;Julio;3.36
CANARIAS;Aguacate;2016;Agosto;3.72
CANARIAS;Aguacate;2016;Septiembre;3.18
CANARIAS;Aguacate;2016;Octubre;1.87
CANARIAS;Aguacate;2016;Noviembre;1.61
CANARIAS;Aguacate;2016;Diciembre;1.51
CANARIAS;Aguacate;2017;Enero;1.48
CANARIAS;Aguacate;2017;Febrero;1.62
CANARIAS;Aguacate;2017;Marzo;1.68
CANARIAS;Aguacate;2017;Abril;1.91
CANARIAS;Aguacate;2017;Mayo;2.07
CANARIAS;Aguacate;2017;Junio;2.55
CANARIAS;Aguacate;2017;Julio;3.23
CANARIAS;Aguacate;2017;Agosto;3.61
CANARIAS;Aguacate;2017;Septiembre;3.27
CANARIAS;Aguacate;2017;Octubre;3.07
CANARIAS;Aguacate;2017;Noviembre;2.87
CANARIAS;Aguacate;2017;Diciembre;2.31
CANARIAS;Aguacate;2018;Enero;2.28
CANARIAS;Aguacate;2018;Febrero;2.24
CANARIAS;Aguacate;2018;Marzo;2.24
CANARIAS;Aguacate;2018;Abril;2.41
CANARIAS;Aguacate;2018;Mayo;2.48
CANARIAS;Aguacate;2018;Junio;3.05
CANARIAS;Aguacate;2018;Julio;3.7
CANARIAS;Aguacate;2018;Agosto;3.99
CANARIAS;Aguacate;2018;Septiembre;4.24
CANARIAS;Aguacate;2018;Octubre;3.17
CANARIAS;Aguacate;2018;Noviembre;2.51
CANARIAS;Aguacate;2018;Diciembre;2.24
CANARIAS;Aguacate;2019;Enero;2.19
CANARIAS;Aguacate;2019;Febrero;2.14
CANARIAS;Aguacate;2019;Marzo;1.93
CANARIAS;Aguacate;2019;Abril;2.14
CANARIAS;Aguacate;2019;Mayo;2.27
CANARIAS;Aguacate;2019;Junio;2.95
CANARIAS;Aguacate;2019;Julio;3.46
CANARIAS;Aguacate;2019;Agosto;3.85
CANARIAS;Aguacate;2019;Septiembre;3.74
CANARIAS;Aguacate;2019;Octubre;2.73
CANARIAS;Aguacate;2019;Noviembre;...
CANARIAS;Bata/Boniato;2016;Enero;1
CANARIAS;Bata/Boniato;2016;Febrero;0.68
CANARIAS;Bata/Boniato;2016;Marzo;0.97
CANARIAS;Bata/Boniato;2016;Abril;1.02
CANARIAS;Bata/Boniato;2016;Mayo;1.14
CANARIAS;Bata/Boniato;2016;Junio;0.79
CANARIAS;Bata/Boniato;2016;Julio;0.93
CANARIAS;Bata/Boniato;2016;Agosto;1.12
CANARIAS;Bata/Boniato;2016;Septiembre;0.87
CANARIAS;Bata/Boniato;2016;Octubre;0.87
CANARIAS;Bata/Boniato;2016;Noviembre;0.79
CANARIAS;Bata/Boniato;2016;Diciembre;0.67
CANARIAS;Bata/Boniato;2017;Enero;0.91
CANARIAS;Bata/Boniato;2017;Febrero;0.8
CANARIAS;Bata/Boniato;2017;Marzo;0.99
CANARIAS;Bata/Boniato;2017;Abril;1.45
CANARIAS;Bata/Boniato;2017;Mayo;0.87
CANARIAS;Bata/Boniato;2017;Junio;1.25
CANARIAS;Bata/Boniato;2017;Julio;1.33
CANARIAS;Bata/Boniato;2017;Agosto;1.09
CANARIAS;Bata/Boniato;2017;Septiembre;0.96
CANARIAS;Bata/Boniato;2017;Octubre;1.12
CANARIAS;Bata/Boniato;2017;Noviembre;0.94
CANARIAS;Bata/Boniato;2017;Diciembre;0.89
CANARIAS;Bata/Boniato;2018;Enero;1.16
CANARIAS;Bata/Boniato;2018;Febrero;1.13
CANARIAS;Bata/Boniato;2018;Marzo;1.46
CANARIAS;Bata/Boniato;2018;Abril;1.68
CANARIAS;Bata/Boniato;2018;Mayo;1.63
CANARIAS;Bata/Boniato;2018;Junio;1.45
